from:START_ID,to:END_ID,:TYPE
134821,0,IS
134833,0,IS
3765,0,IS
134839,0,IS
3769,0,IS
134842,0,IS
134848,0,IS
134850,0,IS
134853,0,IS
134856,0,IS
134858,0,IS
3787,0,IS
3788,0,IS
3789,0,IS
134859,0,IS
3791,0,IS
134867,0,IS
3802,0,IS
3805,0,IS
134879,0,IS
134882,0,IS
3816,0,IS
3817,0,IS
134888,0,IS
134892,0,IS
134894,0,IS
3826,0,IS
3827,0,IS
3829,0,IS
134902,0,IS
3835,0,IS
3837,0,IS
134912,0,IS
3841,0,IS
134919,0,IS
134921,0,IS
3851,0,IS
134923,0,IS
3865,0,IS
3866,0,IS
3869,0,IS
3877,0,IS
3879,0,IS
3881,0,IS
3884,0,IS
134959,0,IS
134960,0,IS
3892,0,IS
3894,0,IS
134969,0,IS
3900,0,IS
3903,0,IS
3905,0,IS
3907,0,IS
3908,0,IS
3909,0,IS
3910,0,IS
3914,0,IS
3921,0,IS
3922,0,IS
3929,0,IS
3931,0,IS
3935,0,IS
3940,0,IS
3941,0,IS
3945,0,IS
3946,0,IS
3950,0,IS
3952,0,IS
3957,0,IS
135029,0,IS
3959,0,IS
135031,0,IS
3961,0,IS
3964,0,IS
135036,0,IS
3966,0,IS
135038,0,IS
3969,0,IS
135041,0,IS
3972,0,IS
135048,0,IS
3986,0,IS
3987,0,IS
3989,0,IS
135065,0,IS
3998,0,IS
3999,0,IS
4002,0,IS
4003,0,IS
4005,0,IS
4006,0,IS
135077,0,IS
135080,0,IS
4010,0,IS
135082,0,IS
135083,0,IS
4015,0,IS
4026,0,IS
4027,0,IS
135100,0,IS
4029,0,IS
4032,0,IS
4039,0,IS
4041,0,IS
4048,0,IS
4049,0,IS
4052,0,IS
4054,0,IS
135127,0,IS
135129,0,IS
135134,0,IS
4065,0,IS
135137,0,IS
4074,0,IS
4076,0,IS
4080,0,IS
4081,0,IS
4084,0,IS
4085,0,IS
135158,0,IS
4097,0,IS
4098,0,IS
4102,0,IS
135177,0,IS
4106,0,IS
4107,0,IS
4109,0,IS
135181,0,IS
135182,0,IS
4112,0,IS
135183,0,IS
135184,0,IS
4115,0,IS
135185,0,IS
135186,0,IS
4118,0,IS
4119,0,IS
135190,0,IS
135195,0,IS
4126,0,IS
4132,0,IS
4134,0,IS
4135,0,IS
4142,0,IS
4144,0,IS
4145,0,IS
135217,0,IS
4147,0,IS
135218,0,IS
135222,0,IS
135223,0,IS
135225,0,IS
4159,0,IS
4160,0,IS
4164,0,IS
